confidence,brand,domain,source,other_candidates,slug,seller_page
high,Neeman's,neemans.com,maximize,brandpts.com,neeman-s,https://www.maximize.money/gift-cards/Neeman's/790
high,Neemans,neemans.com,gyftr,,neemans,https://www.gyftr.com/neemans
high,Netmeds,netmeds.com,gyftr,,netmeds,https://www.gyftr.com/netmeds
high,Netmeds,netmeds.com,maximize,brandpts.com,netmeds,https://www.maximize.money/gift-cards/Netmeds/280
high,Netmeds,netmeds.com,buyhatke,,netmeds-gift-card,https://buyhatke.com/gift-cards/netmeds-gift-card
high,Nilkamal Homes,nilkamalhomes.com,maximize,at-home.co.in,nilkamal-homes,https://www.maximize.money/gift-cards/Nilkamal Homes/329
high,Nintendo,nintendo.com,buyhatke,ec.nintendo.com,nintendo-gift-card,https://buyhatke.com/gift-cards/nintendo-gift-card
high,Nua Woman,nuawoman.com,gyftr,,nua-woman,https://www.gyftr.com/nua-woman
high,Nykaa,nykaa.com,gyftr,nykaaman.com | nykaafashion.com,nykaa,https://www.gyftr.com/nykaa
high,Nykaa,nykaa.com,buyhatke,nykaaman.com | nykaafashion.com | u00a0nykaa.com,nykaa-gift-card,https://buyhatke.com/gift-cards/nykaa-gift-card
high,Nykaa Fashion,nykaafashion.com,maximize,nykaa.com | nykaaman.com,nykaa-fashion,https://www.maximize.money/gift-cards/Nykaa Fashion/340
high,Nykaa Fashion,nykaafashion.com,buyhatke,nykaa.com | nykaaman.com | pinelabs.com,nykaa-fashion-gift-card,https://buyhatke.com/gift-cards/nykaa-fashion-gift-card
high,Nykaa Man,nykaaman.com,gyftr,nykaa.com | nykaafashion.com,nykaa-man,https://www.gyftr.com/nykaa-man
high,Nykaa Man,nykaaman.com,buyhatke,nykaa.com | nykaafashion.com | qwikcilver.com,nykaa-man-gift-card,https://buyhatke.com/gift-cards/nykaa-man-gift-card
high,OLA CABS,olacabs.com,gyftr,,ola-cabs,https://www.gyftr.com/ola-cabs
high,Ola Cabs,olacabs.com,buyhatke,,ola-cabs-gift-card,https://buyhatke.com/gift-cards/ola-cabs-gift-card
high,Origin Nutrition,originnutrition.in,buyhatke,,origin-nutrition-gift-card,https://buyhatke.com/gift-cards/origin-nutrition-gift-card
high,Ornaz,ornaz.com,buyhatke,,ornaz-gift-card,https://buyhatke.com/gift-cards/ornaz-gift-card
high,OTTplay,ottplay.com,buyhatke,,ottplay-gift-card,https://buyhatke.com/gift-cards/ottplay-gift-card
high,Palmonas,palmonas.com,gyftr,,palmonas,https://www.gyftr.com/palmonas
high,Palmonas,palmonas.com,maximize,,palmonas,https://www.maximize.money/gift-cards/Palmonas/1014
high,Pepperfry,pepperfry.com,maximize,pinelabs.com,pepperfry,https://www.maximize.money/gift-cards/Pepperfry/443
high,Pepperfry,pepperfry.com,buyhatke,pinelabs.com,pepperfry-gift-card,https://buyhatke.com/gift-cards/pepperfry-gift-card
high,Philips,domesticappliances.philips.co.in,gyftr,philips.co.in,philips,https://www.gyftr.com/philips
high,Philips,domesticappliances.philips.co.in,buyhatke,philips.co.in,philips-gift-card,https://buyhatke.com/gift-cards/philips-gift-card
high,PhonePe,phonepe.com,buyhatke,,phonepe-gift-card,https://buyhatke.com/gift-cards/phonepe-gift-card
high,Photojaanic,photojaanic.com,buyhatke,,photojaanic-gift-card,https://buyhatke.com/gift-cards/photojaanic-gift-card
high,Pixel Go,pixelgo.com,maximize,,pixel-go,https://www.maximize.money/gift-cards/Pixel Go/664
high,Pixel Go,pixelgo.com,buyhatke,,pixel-go-gift-card,https://buyhatke.com/gift-cards/pixel-go-gift-card
high,Pizza Hut,pizzahut.co.in,gyftr,,pizza-hut,https://www.gyftr.com/pizza-hut
high,Pizza Hut,pizzahut.co.in,buyhatke,,pizza-hut-gift-card,https://buyhatke.com/gift-cards/pizza-hut-gift-card
high,Playstation,playstation.com,buyhatke,,playstation-gift-card,https://buyhatke.com/gift-cards/playstation-gift-card
high,Points for Good,pointsforgood.org,gyftr,pointsforpeople.org,points-for-good,https://www.gyftr.com/points-for-good
high,Points for Good,pointsforgood.org,maximize,,points-for-good,https://www.maximize.money/gift-cards/Points for Good/935
high,Points for Good,pointsforgood.org,buyhatke,,points-for-good-gift-card,https://buyhatke.com/gift-cards/points-for-good-gift-card
high,Prestige,prestige.com,gyftr,ttkprestige.com | shop.ttkprestige.com,prestige,https://www.gyftr.com/prestige
high,Prestige Smart Kitchen,prestigesmartkitchen.com,buyhatke,,prestige-smart-kitchen-gift-card,https://buyhatke.com/gift-cards/prestige-smart-kitchen-gift-card
high,Rangriti,rangriti.com,gyftr,,rangriti,https://www.gyftr.com/rangriti
high,Ray Ban,ray-ban.com,buyhatke,india.ray-ban.com,ray-ban-gift-card,https://buyhatke.com/gift-cards/ray-ban-gift-card
high,Renee Cosmetics,reneecosmetics.in,gyftr,,renee-cosmetics,https://www.gyftr.com/renee-cosmetics
high,Renee Cosmetics,reneecosmetics.in,buyhatke,,renee-cosmetics-gift-card,https://buyhatke.com/gift-cards/renee-cosmetics-gift-card
high,Rentomojo,rentomojo.com,buyhatke,,rentomojo-gift-card,https://buyhatke.com/gift-cards/rentomojo-gift-card
high,Roblox,roblox.com,gyftr,,roblox,https://www.gyftr.com/roblox
high,Roblox,roblox.com,maximize,,roblox,https://www.maximize.money/gift-cards/Roblox/795
high,Roblox,roblox.com,buyhatke,,roblox-gift-card,https://buyhatke.com/gift-cards/roblox-gift-card
high,Salty,salty.co.in,buyhatke,,salty-gift-card,https://buyhatke.com/gift-cards/salty-gift-card
high,Samsonite,samsonite.in,buyhatke,,samsonite-gift-card,https://buyhatke.com/gift-cards/samsonite-gift-card
high,ShemarooMe,shemaroome.com,gyftr,shemaroome.in,shemaroome,https://www.gyftr.com/shemaroome
high,ShemarooMe,shemaroome.com,buyhatke,,shemaroome-gift-card,https://buyhatke.com/gift-cards/shemaroome-gift-card
high,Shiv Naresh,shivnaresh.in,gyftr,,shiv-naresh,https://www.gyftr.com/shiv-naresh
high,Shiv Naresh,shivnaresh.in,buyhatke,,shiv-naresh-gift-card,https://buyhatke.com/gift-cards/shiv-naresh-gift-card
high,Shiva Organic,shivaorganic.com,gyftr,,shiva-organic,https://www.gyftr.com/shiva-organic
high,Shiva Organic,shivaorganic.com,buyhatke,,shiva-organic-gift-card,https://buyhatke.com/gift-cards/shiva-organic-gift-card
