brand,domain,sellers,how_decided
Ovenstory,ovenstory.in,maximize,checked by hand
Palmonas,palmonas.com,gyftr;maximize,auto: name in address
Pantaloons (4 Hr Wait),pantaloons.com,buyhatke,auto: name in address
PC Chandra Gems Gold Coin,pcchandraindia.com,buyhatke,auto: name in address
PC Chandra Gold Coin,pcchandraindia.com,buyhatke;maximize,auto: name in address
PCJ Diamond,pcjeweller.com,buyhatke,auto: name in address
PCJ Gold Coin,pcjeweller.com,buyhatke,auto: name in address
PCJ Gold Jewellery,pcjeweller.com,buyhatke,auto: name in address
Pepperfry,pepperfry.com,buyhatke;maximize,auto: name in address
Pepperfry Luxury,pepperfry.com,buyhatke,auto: name in address
Philips,domesticappliances.philips.co.in,buyhatke;gyftr,auto: name in address
PhonePe,phonepe.com,buyhatke,auto: name in address
PhonePe (Fixed),phonepe.com,maximize,auto: name in address
PhonePe 5000 and 10000,phonepe.com,maximize,auto: name in address
Photojaanic,photojaanic.com,buyhatke,auto: name in address
PinePerksRupayPrime-WH,pineperks.in,maximize,auto: name in address
Pixel Go,pixelgo.com,buyhatke;maximize,auto: name in address
Pizza Hut,pizzahut.co.in,buyhatke;gyftr,auto: name in address
Playstation,playstation.com,buyhatke,auto: name in address
Points for Good,pointsforgood.org,buyhatke;gyftr;maximize,auto: name in address
Prestige,ttkprestige.com,buyhatke;maximize,auto: name in address
Prestige,prestige.com,gyftr,auto: name in address
Prestige Smart Kitchen,prestigesmartkitchen.com,buyhatke,auto: name in address
Pure Home & Living,purehomeandliving.com,buyhatke;gyftr;maximize,auto: name in address
PVR INOX,pvrcinemas.com,gyftr,auto: name in address
Rangriti,rangriti.com,gyftr,auto: name in address
Ray Ban,ray-ban.com,buyhatke,auto: name in address
Razer Gold,gold.razer.com,buyhatke;maximize,auto: name in address
Razorpay Money Bill,money.razorpay.com,maximize,auto: name in address
Razorpay Money Flex,razorpay.com,buyhatke;maximize,auto: name in address
Reliance Jio Mart,jiomart.com,gyftr,auto: name in address
Renee Cosmetics,reneecosmetics.in,buyhatke;gyftr,auto: name in address
Rentomojo,rentomojo.com,buyhatke,auto: name in address
Resonate Router UPS,resonate.store,buyhatke;maximize,auto: name in address
Riot League of Legends 1660,riotgames.com,maximize,checked by hand
Riot League of Legends 2900,riotgames.com,maximize,checked by hand
Riot League of Legends 415,riotgames.com,maximize,checked by hand
Riot League of Legends 4150,riotgames.com,maximize,checked by hand
Riot League of Legends 830,riotgames.com,maximize,checked by hand
Roblox,roblox.com,buyhatke;gyftr;maximize,auto: name in address
Roblox Gift Card,roblox.com,gyftr,auto: name in address
Salty,salty.co.in,buyhatke,auto: name in address
Samsonite,samsonite.in,buyhatke,auto: name in address
Shell (1 Day Wait),shell.com,buyhatke,auto: name in address
ShemarooMe,shemaroome.com,buyhatke;gyftr,auto: name in address
ShemarooMe Premium,shemaroome.com,buyhatke,auto: name in address
Shiv Naresh,shivnaresh.in,buyhatke;gyftr,auto: name in address
Shiva Organic,shivaorganic.com,buyhatke;gyftr,auto: name in address
